iter	RMSE
0	6870.212014
1	6441.717194
2	6101.432299
3	5811.078341
4	5497.419836
5	5210.467136
6	4994.625347
7	4819.962978
8	4626.396144
9	4395.702033
10	4191.328941
11	4010.878729
12	3826.886466
13	3645.715901
14	3493.717617
15	3341.794044
16	3229.226292
17	3116.444314
18	3027.056588
19	2955.927023
20	2865.979414
21	2787.889491
22	2688.230207
23	2600.301058
24	2522.736871
25	2466.600845
26	2389.357241
27	2332.227976
28	2269.391516
29	2225.420173
30	2174.669164
31	2117.687642
32	2064.036954
33	2037.667127
34	1998.569423
35	1972.553284
36	1948.861927
37	1910.87482
38	1884.31131
39	1861.376887
40	1834.127916
41	1820.178933
42	1793.100776
43	1757.25745
44	1740.871739
45	1725.985267
46	1704.999542
47	1685.081244
48	1674.262636
49	1650.996018
50	1640.746298
51	1623.945314
52	1604.989304
53	1584.018419
54	1567.704075
55	1551.132655
56	1536.575649
57	1523.416242
58	1511.820435
59	1497.02298
60	1477.84241
61	1459.203437
62	1450.631078
63	1435.81013
64	1424.369808
65	1408.227889
66	1398.492791
67	1384.654917
68	1373.301973
69	1360.624092
70	1351.909671
71	1340.018063
72	1332.050864
73	1318.145304
74	1302.922189
75	1288.020707
76	1279.315868
77	1271.585807
78	1262.198447
79	1252.224532
80	1244.360327
81	1233.455496
82	1224.018551
83	1216.328082
84	1208.485872
85	1200.687297
86	1191.525371
87	1179.094007
88	1172.704847
89	1161.262797
90	1150.115666
91	1144.561076
92	1135.781465
93	1131.421107
94	1125.481044
95	1115.731098
96	1107.289712
97	1101.168689
98	1093.118137
99	1087.300369
100	1082.717781
101	1074.181893
102	1070.699481
103	1062.564397
104	1055.387105
105	1046.451255
106	1042.912285
107	1036.48076
108	1033.412232
109	1029.661699
110	1022.976322
111	1020.886763
112	1018.125532
113	1012.714111
114	1006.756984
115	1002.806481
116	998.7066468
117	993.2478048
118	986.3847195
119	981.6381155
120	976.241546
121	972.4355613
122	969.8163727
123	963.0494645
124	958.2794059
125	955.4587189
126	951.4292366
127	946.805011
128	944.3761125
129	940.8668286
130	938.8272547
131	933.493203
132	930.6809972
133	925.7313836
134	921.066164
135	918.4410046
136	916.486709
137	914.2807481
138	912.6191274
139	910.5376101
140	908.4221969
141	906.4788474
142	904.2192336
143	901.6641928
144	899.8621365
145	897.6489953
146	894.7169338
147	893.795308
148	890.2983226
149	887.1599843
150	885.3655473
151	881.2294356
152	879.3510931
153	878.6385237
154	875.1563172
155	872.3860744
156	870.4419331
157	866.5919837
158	864.2441122
159	863.0763012
160	861.4280122
161	859.2945045
162	855.3595394
163	853.1049033
164	848.8853536
165	845.8108359
166	841.9610954
167	837.3837469
168	835.0858861
169	830.4493337
170	828.6745303
171	827.6387765
172	825.2842284
173	822.6631434
174	821.1154116
175	817.0098486
176	813.4241188
177	810.3587669
178	807.1399923
179	806.0807328
180	804.5508267
181	803.3807554
182	801.6757317
183	800.4794419
184	797.3639268
185	795.3175374
186	794.5317274
187	792.8222119
188	790.5041597
189	788.5449824
190	786.8005226
191	785.1102452
192	779.6038391
193	778.5614706
194	774.9874923
195	773.9015812
196	772.8333518
197	770.1233465
198	768.4362474
199	767.3652725
200	766.6451263
201	763.9761045
202	760.7739959
203	758.0256096
204	756.2827203
205	755.1931286
206	753.3841951
207	749.9678853
208	748.2626582
209	745.861979
210	743.5676324
211	743.1819035
212	741.6720836
213	739.4475213
214	737.8134163
215	737.1596095
216	735.2071473
217	731.4037986
218	729.8391604
219	728.9046075
220	726.6594942
221	725.8608358
222	723.3114456
223	722.3062683
224	720.1594799
225	717.6405618
226	716.2659187
227	715.969359
228	714.3727981
229	713.3668559
230	711.5611781
231	711.0330755
232	709.4066099
233	707.1634042
234	706.2044287
235	704.3386282
236	701.7982779
237	700.3541297
238	698.3690165
239	697.2556845
240	697.1286493
241	695.114133
242	694.1122041
243	692.5034673
244	691.5602809
245	690.3105731
246	688.6209964
247	687.4100057
248	686.658656
249	685.2169601
250	683.7489732
251	681.936453
252	681.008926
253	679.9991618
254	679.8566238
255	678.7468859
256	677.916936
257	676.9272219
258	675.7247027
259	674.5598179
260	673.3133411
261	672.1806344
262	671.3804242
263	670.1433778
264	669.7504978
265	669.3030158
266	667.9270058
267	666.9679096
268	665.6875873
269	664.8872688
270	663.5984476
271	662.6388364
272	661.3900698
273	660.3483552
274	659.8649762
275	658.9824432
276	658.2409609
277	657.0082046
278	656.3661931
279	654.8213169
280	653.87231
281	652.491497
282	651.7603352
283	651.2977123
284	651.0061903
285	650.3698231
286	649.1849324
287	649.1289791
288	648.2060558
289	647.523481
290	646.434851
291	644.9703818
292	644.6924358
293	644.0108507
294	642.9506346
295	642.57148
296	641.5286535
297	641.003511
298	640.5286261
