iter	MultiClass
0	2.185277184
1	2.088096172
2	1.993667963
3	1.901759727
4	1.81923703
5	1.752999963
6	1.675196246
7	1.613117241
8	1.547033982
9	1.488667278
10	1.431776341
11	1.381339156
12	1.338156774
13	1.292586608
14	1.24387506
15	1.203736194
16	1.169496541
17	1.132709961
18	1.101134356
19	1.069009772
20	1.03683487
21	1.006828189
22	0.975098611
23	0.9489428679
24	0.9234179503
25	0.8979980612
26	0.875579678
27	0.8533977837
28	0.8323226578
29	0.8104512647
30	0.7912653191
31	0.7706384533
32	0.7522941965
33	0.7339852816
34	0.7178776513
35	0.7020572412
36	0.6855080029
37	0.670338706
38	0.6576400406
39	0.6436714027
40	0.6299898039
41	0.6175921705
42	0.604020974
43	0.5909252134
44	0.5773187134
45	0.5633447744
46	0.5531483999
47	0.5420492597
48	0.5308865695
49	0.5226942063
50	0.5125123977
51	0.502407548
52	0.4933073008
53	0.4842850215
54	0.475771929
55	0.4670257687
56	0.4584043704
57	0.4487349913
58	0.4400934078
59	0.4317414945
60	0.4243828335
61	0.4154022189
62	0.4056644513
63	0.3987629947
64	0.390736862
65	0.3835282209
66	0.377256664
67	0.370063143
68	0.3631561674
69	0.3565549539
70	0.3503894078
71	0.3441485784
72	0.3383137858
73	0.3323311655
74	0.3263046676
75	0.3195484796
76	0.3135290186
77	0.307682503
78	0.3026735501
79	0.2975787147
80	0.2919958256
81	0.2870604104
82	0.2822762749
83	0.2774813547
84	0.2715169336
85	0.266675833
86	0.2626803665
87	0.2581518444
88	0.2537556899
89	0.2494121496
90	0.2451083316
91	0.2411732085
92	0.2375415911
93	0.2339233741
94	0.2311300344
95	0.2275231117
96	0.22398074
97	0.2199700762
98	0.2166519449
99	0.21374289
100	0.2104909399
101	0.2073860374
102	0.2043251048
103	0.2015894707
104	0.1986124712
105	0.1958082784
106	0.1934965456
107	0.1909334725
108	0.1877952434
109	0.1863087506
110	0.1840054438
111	0.1816905772
112	0.1798269375
113	0.1772272289
114	0.1751064891
115	0.1731247942
116	0.1705596053
117	0.1688778297
118	0.166847495
119	0.165096829
120	0.1632047362
121	0.1629997021
122	0.1613268037
123	0.1592164997
124	0.157511508
125	0.1559973773
126	0.1541917222
127	0.1522205314
128	0.1510656134
129	0.1495128566
130	0.1478452622
131	0.1459297834
132	0.1443370475
133	0.1430920758
134	0.1419501899
135	0.1403701462
136	0.1395014702
137	0.1378956571
138	0.1363385218
139	0.1350690104
140	0.1336984043
141	0.1330759917
142	0.1316619697
143	0.1303837125
144	0.1292147823
145	0.127795726
146	0.126569073
147	0.1259923968
148	0.1248981505
149	0.1237942979
150	0.1224593819
151	0.1222184389
152	0.1215341065
153	0.1203357969
154	0.1199415487
155	0.1190940645
156	0.118051997
157	0.1175722229
158	0.1172164915
159	0.116135201
160	0.1153284437
161	0.114263263
162	0.113170718
163	0.1124609633
164	0.111448554
165	0.1105456872
166	0.1095644984
167	0.1088439726
168	0.1087085431
169	0.1077710254
170	0.106850569
171	0.1061594069
172	0.1060918763
173	0.1060072621
174	0.1053954026
175	0.104786953
176	0.1043552708
177	0.1033881671
178	0.1023787092
179	0.1014430716
180	0.1005046218
181	0.09977117812
182	0.09903594553
183	0.09840074244
184	0.09757890684
185	0.09681373979
186	0.09603498139
187	0.09530069165
188	0.0943256368
189	0.09409098377
190	0.09341524599
191	0.09254105818
192	0.09206501638
193	0.09132376616
194	0.09102774244
195	0.09052901004
196	0.09002757536
197	0.08924154243
198	0.08872422545
199	0.08788347093
200	0.08744280202
201	0.08683347035
202	0.08637344165
203	0.08602991696
204	0.08543757902
205	0.08490351531
206	0.08469919966
207	0.08410042618
208	0.0835641226
209	0.08304691421
210	0.08299743817
211	0.08247360268
212	0.08191406448
213	0.08141977329
214	0.08075925898
215	0.08025234466
216	0.07988768716
217	0.07925455399
218	0.07865866731
219	0.07837936268
220	0.0783061221
221	0.07787692406
222	0.07779777384
223	0.07729356743
224	0.07695025795
225	0.07651476634
226	0.07608896615
227	0.07566520345
228	0.07552718836
229	0.07498953497
230	0.07448104731
231	0.07382828241
232	0.07356184451
233	0.07320895059
234	0.07273952624
235	0.07229296457
236	0.07188979401
237	0.07142860422
238	0.07107498466
239	0.07059301873
240	0.070125808
241	0.06981709541
242	0.0695685346
243	0.06914971153
244	0.06900061399
245	0.06879145296
246	0.06855127712
247	0.06825427743
248	0.06784091948
249	0.06739541558
250	0.06704465967
251	0.06663266889
252	0.06631845024
253	0.06597305584
254	0.06571896811
255	0.06539496452
256	0.06500902236
257	0.06470665942
258	0.06433470927
259	0.0642784507
260	0.06396903938
261	0.0636267599
262	0.06331732692
263	0.06313582763
264	0.06298262614
265	0.06264119208
266	0.06246566308
267	0.06218570914
268	0.06189505296
269	0.06169137357
270	0.06147818046
271	0.06124444262
272	0.06117439779
273	0.06114440924
274	0.06071948456
275	0.06063690254
276	0.06054618604
277	0.06024475962
278	0.0598534218
279	0.05971669367
280	0.05944155693
281	0.05913434212
282	0.05895245998
283	0.05861076299
284	0.05836802519
285	0.05817838595
286	0.05783972924
287	0.05766261365
288	0.05739265854
289	0.05723740874
290	0.05694784835
291	0.05665718057
292	0.05663167683
293	0.05632347567
294	0.05611367005
295	0.05598147027
296	0.05586939487
297	0.05560954953
298	0.05550860437
299	0.05530936918
