iter	Passed	Remaining
0	618	184915
1	1092	162713
2	1550	153518
3	2027	150027
4	2507	147930
5	3076	150766
6	3623	151676
7	4189	152918
8	4773	154332
9	5340	154885
10	5884	154603
11	6415	153983
12	6946	153353
13	7475	152714
14	8051	152980
15	8606	152770
16	9235	153736
17	9847	154272
18	10474	154917
19	11068	154962
20	11698	155421
21	12267	155019
22	12863	154916
23	13438	154543
24	13987	153861
25	14550	153342
26	15143	153119
27	15723	152739
28	16289	152224
29	16881	151937
30	17462	151531
31	18025	150964
32	18602	150511
33	19132	149683
34	19667	148912
35	20227	148334
36	20804	147879
37	21374	147372
38	21937	146811
39	22501	146260
40	23076	145776
41	23638	145208
42	24261	145004
43	24866	144678
44	25472	144345
45	26077	143994
46	26679	143614
47	27229	142954
48	27799	142402
49	28373	141867
50	29008	141627
51	29567	141014
52	30167	140594
53	30799	140309
54	31388	139821
55	31963	139268
56	32572	138861
57	33141	138279
58	33744	137838
59	34309	137238
60	34891	136706
61	35495	136256
62	36167	136059
63	36757	135545
64	37388	135172
65	37935	134498
66	38462	133756
67	39011	133098
68	39569	132472
69	40130	131857
70	40695	131258
71	41308	130809
72	41906	130311
73	42465	129692
74	43060	129180
75	43583	128456
76	44133	127813
77	44681	127169
78	45285	126685
79	45847	126080
80	46415	125493
81	47027	125023
82	47662	124611
83	48239	124045
84	48786	123400
85	49339	122774
86	49920	122219
87	50455	121550
88	51012	120940
89	51571	120333
90	52166	119811
91	52734	119226
92	53260	118547
93	53805	117913
94	54358	117299
95	54928	116723
96	55486	116121
97	56118	115671
98	56718	115154
99	57246	114492
100	57767	113819
101	58291	113153
102	58815	112492
103	59339	111832
104	59863	111174
105	60414	110570
106	60946	109930
107	61469	109278
108	61989	108623
109	62512	107975
110	63035	107330
111	63561	106691
112	64084	106052
113	64614	105423
114	65136	104785
115	65663	104155
116	66180	103513
117	66697	102872
118	66945	101825
119	67460	101191
120	67977	100562
121	68493	99933
122	69008	99304
123	69526	98683
124	70049	98069
125	70577	97464
126	71109	96865
127	71628	96250
128	72148	95638
129	72663	95021
130	73186	94416
131	73697	93797
132	74215	93187
133	74727	92572
134	75241	91962
135	75755	91352
136	76272	90747
137	76791	90146
138	77314	89551
139	77830	88949
140	78349	88351
141	78863	87749
142	79397	87170
143	79927	86588
144	80456	86004
145	80979	85416
146	81504	84831
147	82023	84240
148	82545	83653
149	83069	83069
150	83589	82482
151	84107	81894
152	84635	81316
153	85157	80733
154	85670	80143
155	86193	79563
156	86715	78983
157	87243	78408
158	87762	77827
159	88284	77248
160	88803	76669
161	89327	76093
162	89847	75516
163	90372	74943
164	90898	74371
165	91421	73798
166	91946	73226
167	92467	72653
168	92980	72073
169	93496	71497
170	94018	70926
171	94537	70353
172	95045	69773
173	95558	69197
174	96075	68625
175	96588	68051
176	97099	67476
177	97617	66906
178	98133	66336
179	98648	65765
180	99164	65196
181	99684	64630
182	100200	64062
183	100712	63492
184	101232	62928
185	101751	62363
186	102270	61799
187	102785	61234
188	103304	60670
189	103820	60106
190	104336	59542
191	104851	58979
192	105367	58416
193	105884	57854
194	106398	57291
195	106910	56727
196	107426	56167
197	107943	55607
198	108459	55047
199	108972	54486
200	109484	53925
201	110001	53366
202	110522	52811
203	111035	52252
204	111550	51694
205	112068	51138
206	112616	50596
207	113133	50039
208	113683	49498
209	114252	48965
210	114795	48420
211	115363	47886
212	115888	47334
213	116406	46780
214	116923	46225
215	117440	45671
216	117957	45117
217	118475	44564
218	118993	44011
219	119507	43457
220	120019	42902
221	120537	42350
222	121076	41806
223	121592	41254
224	122107	40702
225	122635	40154
226	123158	39606
227	123680	39056
228	124194	38505
229	124712	37955
230	125227	37405
231	125744	36856
232	126263	36307
233	126777	35757
234	127295	35209
235	127811	34660
236	128330	34113
237	128843	33564
238	129355	33015
239	129874	32468
240	130389	31921
241	130905	31373
242	131426	30828
243	131938	30280
244	132452	29734
245	132964	29187
246	133481	28641
247	133529	27998
248	134044	27454
249	134559	26911
250	135073	26368
251	135590	25826
252	136107	25284
253	136626	24743
254	137139	24201
255	137653	23659
256	138170	23118
257	138685	22576
258	139201	22035
259	139718	21495
260	140242	20955
261	140771	20417
262	141288	19877
263	141817	19338
264	142339	18799
265	142901	18265
266	143425	17726
267	143938	17186
268	144453	16647
269	144967	16107
270	145482	15568
271	146001	15029
272	146520	14491
273	147033	13952
274	147553	13413
275	148068	12875
276	148582	12337
277	149098	11799
278	149614	11261
279	150130	10723
280	150647	10186
281	151162	9648
282	151678	9111
283	152191	8574
284	152712	8037
285	153226	7500
286	153746	6964
287	154294	6428
288	154812	5892
289	155329	5356
290	155847	4820
291	156398	4284
292	156916	3748
293	157430	3212
294	157942	2676
295	158454	2141
296	158966	1605
297	159487	1070
298	160004	535
299	160518	0
