iter	Passed	Remaining
0	2	2109
1	3	1909
2	5	1839
3	7	1797
4	8	1784
5	10	1745
6	12	1733
7	14	1742
8	15	1728
9	17	1685
10	18	1689
11	20	1687
12	22	1682
13	23	1676
14	25	1688
15	27	1687
16	29	1695
17	31	1695
18	32	1688
19	34	1683
20	36	1684
21	37	1684
22	39	1678
23	41	1677
24	42	1671
25	44	1668
26	46	1668
27	48	1666
28	49	1664
29	51	1657
30	53	1658
31	54	1656
32	56	1654
33	58	1654
34	59	1651
35	61	1648
36	63	1643
37	64	1641
38	66	1637
39	68	1633
40	69	1634
41	71	1628
42	73	1625
43	74	1619
44	76	1618
45	77	1614
46	79	1611
47	81	1611
48	82	1608
49	84	1606
50	86	1606
51	87	1603
52	89	1598
53	91	1598
54	93	1599
55	94	1596
56	96	1592
57	98	1592
58	99	1588
59	101	1585
60	102	1585
61	104	1582
62	106	1580
63	107	1579
64	109	1580
65	111	1580
66	113	1576
67	114	1575
68	116	1573
69	118	1570
70	120	1570
71	121	1569
72	123	1566
73	125	1566
74	126	1565
75	128	1562
76	130	1560
77	131	1558
78	133	1554
79	134	1551
80	136	1554
81	138	1552
82	140	1553
83	142	1552
84	144	1550
85	145	1548
86	147	1549
87	149	1547
88	151	1546
89	152	1545
90	154	1546
91	156	1543
92	158	1541
93	159	1540
94	161	1538
95	163	1535
96	164	1534
97	166	1532
98	168	1530
99	169	1528
100	171	1528
101	173	1524
102	174	1521
103	176	1523
104	178	1520
105	179	1517
106	181	1517
107	183	1516
108	185	1513
109	187	1513
110	188	1511
111	190	1508
112	191	1505
113	193	1503
114	195	1501
115	196	1499
116	198	1497
117	200	1496
118	201	1494
119	203	1493
120	205	1492
121	207	1490
122	208	1487
123	210	1486
124	212	1485
125	213	1483
126	215	1484
127	217	1482
128	219	1480
129	220	1478
130	222	1476
131	224	1474
132	225	1473
133	227	1470
134	229	1469
135	231	1468
136	232	1466
137	234	1463
138	235	1459
139	237	1458
140	239	1456
141	240	1453
142	242	1452
143	244	1451
144	245	1449
145	247	1447
146	249	1446
147	250	1444
148	252	1442
149	254	1440
150	255	1438
151	257	1437
152	259	1435
153	261	1438
154	263	1437
155	265	1435
156	267	1433
157	268	1431
158	270	1431
159	272	1431
160	274	1430
161	276	1429
162	278	1427
163	279	1426
164	281	1424
165	283	1422
166	284	1421
167	286	1421
168	288	1420
169	290	1418
170	292	1416
171	293	1414
172	295	1412
173	297	1410
174	298	1409
175	300	1407
176	302	1406
177	304	1404
178	305	1402
179	307	1399
180	308	1397
181	310	1397
182	312	1395
183	314	1393
184	315	1391
185	317	1389
186	319	1387
187	320	1385
188	322	1384
189	324	1383
190	326	1382
191	329	1384
192	330	1382
193	332	1380
194	334	1380
195	335	1377
196	337	1376
197	339	1375
198	341	1373
199	342	1371
200	344	1369
201	346	1368
202	348	1367
203	349	1365
204	351	1364
205	353	1362
206	355	1361
207	357	1359
208	358	1358
209	360	1357
210	362	1356
211	364	1354
212	366	1354
213	368	1353
214	370	1351
215	372	1351
216	373	1348
217	375	1347
218	377	1347
219	379	1345
220	381	1343
221	383	1342
222	384	1340
223	386	1339
224	388	1337
225	389	1335
226	391	1333
227	393	1332
228	395	1330
229	396	1328
230	398	1327
231	400	1325
232	401	1323
233	404	1323
234	406	1321
235	407	1320
236	409	1319
237	411	1317
238	413	1315
239	414	1313
240	416	1311
241	418	1310
242	420	1309
243	422	1307
244	423	1306
245	425	1303
246	427	1302
247	428	1300
248	430	1298
249	432	1297
250	434	1295
251	435	1293
252	437	1291
253	439	1290
254	440	1288
255	442	1287
256	444	1285
257	446	1283
258	447	1281
259	449	1279
260	451	1277
261	452	1275
262	454	1273
263	456	1271
264	457	1269
265	459	1268
266	461	1266
267	463	1264
268	464	1262
269	466	1261
270	468	1259
271	469	1257
272	471	1256
273	473	1254
274	474	1251
275	476	1250
276	478	1249
277	480	1247
278	482	1246
279	483	1244
280	485	1242
281	487	1240
282	488	1238
283	490	1237
284	492	1235
285	494	1233
286	495	1231
287	497	1229
288	498	1227
289	500	1225
290	502	1224
291	504	1222
292	506	1221
293	507	1219
294	509	1217
295	511	1216
296	513	1214
297	514	1212
298	516	1210
299	518	1209
300	519	1206
301	521	1205
302	523	1203
303	524	1201
304	526	1199
305	528	1197
306	529	1195
307	531	1193
308	533	1192
