iter	RMSE
0	653.12464
1	635.2414473
2	621.0525704
3	608.5014022
4	594.3781576
5	580.9340386
6	567.7127708
7	554.2225924
8	541.7578717
9	529.7734051
10	519.142278
11	510.2213293
12	501.1932595
13	491.672113
14	482.9879149
15	476.0588618
16	468.5037953
17	462.0830778
18	455.6966203
19	448.6222913
20	441.8588174
21	436.8682151
22	431.7244536
23	426.0251996
24	421.1310992
25	416.3535562
26	411.8850732
27	407.1763976
28	402.6572972
29	398.351902
30	394.1651576
31	390.8781051
32	387.0771402
33	383.9608258
34	379.8398551
35	377.8989239
36	374.7140326
37	371.9332662
38	369.8177051
39	367.5878877
40	365.2214672
41	362.1666556
42	359.8751866
43	357.2839015
44	354.8101272
45	352.8014219
46	351.4529902
47	349.1319832
48	346.6438407
49	344.7042611
50	342.7374351
51	341.3198616
52	339.4085225
53	337.9822323
54	336.0302606
55	334.7903548
56	333.2926228
57	331.5440946
58	329.992106
59	328.2677042
60	326.8971817
61	325.6331531
62	324.3303752
63	323.3257475
64	322.3262432
65	321.3150955
66	320.6411448
67	319.9577284
68	319.144012
69	318.1895791
70	317.19026
71	316.495635
72	315.4366155
73	314.7888851
74	314.1983431
75	313.3177913
76	312.6301596
77	312.0873298
78	311.2558332
79	310.4178127
80	309.9894283
81	309.1591804
82	308.7036531
83	307.9882673
84	307.3661925
85	306.5937829
86	305.8489552
87	305.3329353
88	304.7135218
89	303.9788368
90	302.4655593
91	301.9330865
92	301.3230707
93	300.5873471
94	300.2481983
95	299.6606306
96	299.1409233
97	298.4373229
98	297.2995563
99	297.0498252
100	296.567004
101	295.6073023
102	294.6180148
103	294.048092
104	293.4588417
105	293.128997
106	292.4702835
107	291.5195503
108	290.9309865
109	290.3596099
110	289.7581834
111	288.9346875
112	288.4598051
113	287.748407
114	286.6432678
115	286.2205248
116	285.9158094
117	285.6857314
118	285.4622599
119	284.8611389
120	284.6884696
121	284.3380797
122	283.9053177
123	283.5181532
124	283.1850897
125	282.3777265
126	281.6939589
127	281.3094044
128	281.0898737
129	280.8885236
130	280.6524023
131	280.0399323
132	279.6168794
133	278.7050349
134	278.515069
135	278.1013322
136	277.8503313
137	277.5410688
138	277.2170843
139	276.7742474
140	276.0882909
141	275.682816
142	274.9170099
143	274.6084192
144	274.3573443
145	274.086202
146	273.530049
147	272.7548505
148	272.3006253
149	271.8217613
150	271.2192015
151	270.8128854
152	270.2452688
153	269.8250645
154	269.4214399
155	269.1729514
156	268.5465015
157	268.2078304
158	267.976501
159	267.5690534
160	267.012492
161	266.6800734
162	266.2833978
163	266.0814357
164	265.7284234
165	265.5596833
166	264.9492862
167	264.7514975
168	264.2513683
169	263.8082116
170	263.4767282
171	262.5874061
172	262.0038582
173	261.6140227
174	261.4721041
175	261.3241968
176	260.813572
177	259.8618939
178	259.474653
179	259.1675644
180	258.7022294
181	258.2577494
182	257.6103677
183	257.1609644
184	256.591469
185	255.9004321
186	255.734282
187	255.6193653
188	255.2601285
189	254.8943591
190	254.164325
191	253.9109238
192	253.6949148
193	253.5156865
194	253.3341863
195	253.0084903
196	252.893213
197	252.7749463
198	252.4274879
199	252.0512042
200	251.8828893
201	251.5577052
202	251.3819202
203	251.2736388
204	250.7521422
205	250.5146993
206	250.1218577
207	249.8008893
208	249.5190952
209	249.0634101
210	248.9996063
211	248.9066577
212	248.6154272
213	248.3049186
214	247.9059016
215	247.5787947
216	247.5233595
217	247.0762502
218	246.7186803
219	246.334578
220	246.0284942
221	245.9453312
222	245.2834459
223	245.0146981
224	244.4013345
225	244.2611278
226	244.0663866
227	243.808032
228	243.7144606
229	243.6411781
230	243.2291573
231	243.0420939
232	242.5041595
233	242.2606735
234	242.1918787
235	241.6403374
236	241.4657455
237	241.260857
238	241.1797005
239	240.8152176
240	240.6412696
241	240.3130723
242	240.0104223
243	239.7761569
244	239.5890652
245	239.4283367
246	239.3403829
247	239.1679801
248	238.9397566
249	238.5872072
250	238.185453
251	238.044407
252	237.9651928
253	237.5877069
254	237.3370187
255	237.0968475
256	236.8013933
257	236.4659393
258	236.1778861
259	235.834346
260	235.5178099
261	235.4460615
262	235.2728057
263	234.8971919
264	234.5776894
265	234.5078919
266	234.1997646
267	233.8646117
268	233.5668373
269	233.2509542
270	232.7540669
271	232.2712217
272	232.035086
273	231.8488913
274	231.6676459
275	231.220675
276	231.1575288
277	230.5705615
278	230.289141
279	229.9662883
280	229.657767
281	229.1878832
282	228.6758217
283	228.3674501
284	228.3059188
285	227.8805823
286	227.7120008
287	227.4331017
288	227.2860584
289	227.0164289
290	226.7068511
291	226.5626112
292	226.3113897
293	225.94318
294	225.6198653
295	225.2741752
296	225.1732022
297	225.0328765
298	224.844881
299	224.6567649
300	224.164619
301	223.9206875
302	223.7599062
303	223.5210587
304	223.466155
305	223.246857
306	222.8815978
307	222.485073
308	222.3119485
309	221.8612817
310	221.6857723
311	221.5914695
312	221.5349199
313	221.3719632
314	220.9984121
315	220.8287549
316	220.6674588
317	220.5340012
318	220.3103887
319	220.1662412
320	220.098214
321	219.8866985
322	219.7237981
323	219.513613
324	219.4635466
325	219.3422604
326	219.0425381
327	218.791997
328	218.542111
329	218.4721289
330	218.2666415
331	218.0022915
332	217.8301962
333	217.7984469
334	217.4634182
335	217.3194112
336	217.1975365
337	216.9157001
338	216.8544938
339	216.5511119
340	216.2898281
341	216.1828159
342	215.8912096
343	215.7557232
344	215.5262554
345	215.4098725
346	215.3409287
347	215.0553885
348	214.9423727
349	214.8181686
350	214.5509345
351	214.4569725
352	214.212544
353	213.9448184
354	213.5975513
355	213.4987067
356	213.3396073
357	213.2753645
358	213.1697008
359	213.0161445
360	212.8246788
361	212.6901976
362	212.6076029
363	212.5099339
364	212.3182194
365	212.0893008
366	211.9066435
367	211.7371673
368	211.5436601
369	211.5091433
370	211.1804185
371	211.0530183
372	210.8822857
373	210.6027514
374	210.4510564
375	210.2728062
376	210.1680494
377	210.0439117
378	209.7552005
379	209.6010948
380	209.5566939
381	209.3015079
382	209.1507794
383	209.1193078
384	208.8966629
385	208.7108669
386	208.4595364
387	208.1758076
388	208.0196796
389	207.7172776
390	207.620224
391	207.5280541
392	207.4874465
393	207.4584542
394	207.2280944
395	207.026965
396	206.8152184
397	206.6442664
398	206.5391914
399	206.3158778
400	206.0612606
401	205.9571862
402	205.7489046
403	205.5651092
404	205.4817713
405	205.3366031
406	205.2013787
407	205.1264317
408	204.8806534
409	204.7333452
410	204.5214151
411	204.4207224
412	204.3784707
413	204.1722527
414	203.9308357
415	203.7283338
416	203.4832064
417	203.2461169
418	203.1759402
419	202.9701758
420	202.7256218
421	202.6498797
422	202.4901176
423	202.2737112
424	202.1065341
425	201.9447663
426	201.9039976
427	201.6472933
428	201.3968482
429	201.207172
430	201.1386935
431	201.1176391
432	201.0339324
433	200.734642
434	200.6391392
435	200.5214589
436	200.4074961
437	200.3841944
438	200.281352
439	200.1962322
440	200.0296587
441	199.8731793
442	199.7617144
443	199.6963102
444	199.5809239
445	199.4199064
446	199.3792887
447	199.2432208
448	199.1605211
449	199.0383612
450	198.8523798
451	198.7954479
452	198.6988648
453	198.5891435
454	198.4035158
455	198.1833368
456	198.043282
457	197.9723631
458	197.7131982
459	197.5189628
460	197.3606499
461	197.3002174
462	197.0319723
463	196.7463421
464	196.6558681
465	196.5472721
466	196.4004137
467	196.342032
468	196.2879372
469	196.0559516
470	195.7949857
471	195.4817137
472	195.4373104
473	195.2343778
474	195.1558358
475	195.0797232
476	194.9948366
477	194.9142077
478	194.860876
479	194.7996395
480	194.5808313
481	194.4073842
482	194.2359624
483	194.1042155
484	193.9756975
485	193.8638922
486	193.7561597
487	193.6374347
488	193.5486158
489	193.4800209
490	193.4286522
491	193.2620393
492	193.166117
493	193.1344496
494	193.0556428
495	192.7191649
496	192.5858201
497	192.3425015
498	192.2430951
499	192.1657314
500	192.0472537
501	191.9960134
502	191.9849331
503	191.9268763
504	191.8726853
505	191.8501691
506	191.677056
507	191.655978
508	191.5420563
509	191.4804875
510	191.4613447
511	191.2648925
512	191.1335474
513	191.1182006
514	191.0259916
515	190.8722135
516	190.7214474
517	190.7105805
518	190.5461844
519	190.3530755
520	190.3431137
521	190.256105
522	190.1477417
523	190.0915228
524	190.0730339
525	190.054398
526	189.9363505
527	189.8655063
528	189.8064957
529	189.7972054
530	189.787735
531	189.7289044
532	189.6031713
533	189.5141409
534	189.4127414
535	189.3156301
536	189.2138302
537	188.9254839
538	188.856409
539	188.7209188
540	188.6889436
541	188.6497361
542	188.5076905
543	188.4103313
544	188.2355257
545	188.1662486
546	188.0698725
547	187.7506462
548	187.6553257
549	187.60123
550	187.3380491
551	187.2113318
552	187.2029505
553	187.0927344
554	186.9991687
555	186.8462056
556	186.7630447
557	186.6623133
558	186.5917312
559	186.58123
560	186.4058893
561	186.262556
562	186.2287554
563	185.9962237
564	185.8456571
565	185.7278885
566	185.6427377
567	185.4946222
568	185.4016008
569	185.3016048
570	185.1846067
571	185.0343964
572	184.9784724
573	184.7909801
574	184.708991
575	184.6487446
576	184.5353919
577	184.4073293
578	184.3821737
579	184.1049404
580	183.8598116
581	183.7150185
582	183.633291
583	183.5564955
584	183.4636617
585	183.4100419
586	183.2792887
587	183.2492152
588	183.142522
589	183.0244838
590	182.9249687
591	182.7891159
592	182.6252416
593	182.5635278
594	182.4795053
595	182.4284418
596	182.3166147
597	182.2329064
598	182.2043993
599	182.1320791
600	182.0598919
601	181.9986796
602	181.8814811
603	181.683855
604	181.6534122
605	181.5424419
606	181.4285278
607	181.3424167
608	181.2798261
609	181.1117583
610	180.9964358
611	180.9225507
612	180.7776291
613	180.7645678
614	180.7172058
615	180.6913274
616	180.5799488
617	180.4889369
618	180.3863508
619	180.3268362
620	180.2549407
621	180.1031918
622	180.0335195
623	179.947912
624	179.786684
625	179.6837505
626	179.5415517
627	179.5134963
628	179.3744165
629	179.299642
630	179.2306681
631	179.1496175
632	179.1404343
633	179.0473026
634	178.8492549
635	178.6721316
636	178.5888071
637	178.4835862
638	178.4232943
639	178.40523
640	178.2708914
641	178.1767063
642	178.032046
643	178.0150403
644	177.9228656
645	177.824514
646	177.6445087
647	177.6180968
648	177.5886006
649	177.5117231
650	177.4735196
651	177.3691939
652	177.2280216
653	177.1162598
654	177.0615791
655	176.9907796
656	176.9638433
657	176.8619214
658	176.8293104
659	176.7229702
660	176.6105241
661	176.476014
662	176.4553322
663	176.4166388
664	176.2493044
665	176.169065
666	176.1604926
667	176.073887
668	176.0156964
669	175.9841977
670	175.8913762
671	175.7715114
672	175.7061434
673	175.6833916
674	175.5885797
675	175.4152341
676	175.3133451
677	175.2092782
678	175.1131503
679	175.0594283
