iter	Passed	Remaining
0	2	1752
1	2	1143
2	3	913
3	3	788
4	4	703
5	5	662
6	5	633
7	6	610
8	6	591
9	7	580
10	7	564
11	8	547
12	8	533
13	9	523
14	9	512
15	10	507
16	10	506
17	11	500
18	12	495
19	12	496
20	13	491
21	13	485
22	14	483
23	14	478
24	15	474
25	15	471
26	16	470
27	17	468
28	17	466
29	18	463
30	18	460
31	19	456
32	19	453
33	19	450
34	20	447
35	20	444
36	21	443
37	22	441
38	22	439
39	23	438
40	23	436
41	24	435
42	24	434
43	25	432
44	25	430
45	26	428
46	26	425
47	27	424
48	27	423
49	28	422
50	28	420
51	29	420
52	29	419
53	30	418
54	30	416
55	31	415
56	31	414
57	32	413
58	32	411
59	33	411
60	33	409
61	34	408
62	34	407
63	35	406
64	35	404
65	36	403
66	36	401
67	37	401
68	37	401
69	38	400
70	38	399
71	39	398
72	39	396
73	40	395
74	40	394
75	41	393
76	41	392
77	42	394
78	43	393
79	43	392
80	44	391
81	44	390
82	45	389
83	45	388
84	46	386
85	46	385
86	46	384
87	47	384
88	48	383
89	48	382
90	49	382
91	49	381
92	50	380
93	50	379
94	50	378
95	51	378
96	52	377
97	53	379
98	53	379
99	54	378
100	54	377
101	55	377
102	55	376
103	56	375
104	56	375
105	57	375
106	57	374
107	58	374
108	58	373
109	59	372
110	60	372
111	60	371
112	60	370
113	61	369
114	61	369
115	62	368
116	63	368
117	63	367
118	64	367
119	64	366
120	65	365
121	65	364
122	66	363
123	66	363
124	67	362
125	67	361
126	68	360
127	68	359
128	69	359
129	69	358
130	70	357
131	70	357
132	71	356
133	71	355
134	72	354
135	72	353
136	72	353
137	73	352
138	73	351
139	74	350
140	74	350
141	75	349
142	75	348
143	76	347
144	76	346
145	77	345
146	77	345
147	78	344
148	79	347
149	80	347
150	80	346
151	81	345
152	81	345
153	82	344
154	82	344
155	83	343
156	83	342
157	85	345
158	85	344
159	86	344
160	86	343
161	87	342
162	87	341
163	87	341
164	88	340
165	88	339
166	89	339
167	90	338
168	90	338
169	91	338
170	91	337
171	92	336
172	92	336
173	93	335
174	93	334
175	94	334
176	94	333
177	95	332
178	95	332
179	96	331
180	96	331
181	97	331
182	98	330
183	98	330
184	99	329
185	99	329
186	100	328
187	100	328
188	101	327
189	101	327
190	102	326
191	103	326
192	103	325
193	103	324
194	104	323
195	104	323
196	105	322
197	105	322
198	106	321
199	107	321
200	107	320
201	108	319
202	108	319
203	109	318
204	109	317
205	109	317
206	110	316
207	111	316
208	111	315
209	112	314
210	112	314
211	113	313
212	113	312
213	113	312
214	114	311
215	115	310
216	115	310
217	116	309
218	116	309
219	117	308
220	117	308
221	118	307
222	118	306
223	119	306
224	119	305
225	120	305
226	121	306
227	121	305
228	122	305
229	122	304
230	123	304
231	123	303
232	124	302
233	124	302
234	125	301
235	125	300
236	126	300
237	126	299
238	127	299
239	128	298
240	128	298
241	129	297
242	129	296
243	130	296
244	130	295
245	130	294
246	131	294
247	132	293
248	132	293
249	133	292
250	133	292
251	134	291
252	134	290
253	135	290
254	135	289
255	136	289
256	136	288
257	137	288
258	137	287
259	138	287
260	138	286
261	139	286
262	139	285
263	140	285
264	140	284
265	141	283
266	142	283
267	142	283
268	143	282
269	143	282
270	144	281
271	144	281
272	145	280
273	145	279
274	146	279
275	146	278
276	147	278
277	147	277
278	148	277
279	149	276
280	149	276
281	150	275
282	150	275
283	151	274
284	151	274
285	152	274
286	153	273
287	153	273
288	154	272
289	154	272
290	155	271
291	155	271
292	156	270
293	156	270
294	157	269
295	158	269
296	158	268
297	159	268
298	159	267
299	160	267
300	161	266
301	161	266
302	161	265
303	162	265
304	163	264
305	163	264
306	164	263
307	164	263
308	165	262
309	165	262
310	166	261
311	166	260
312	167	260
313	167	259
314	168	259
315	168	258
316	169	258
317	170	257
318	170	257
319	171	256
320	171	256
321	172	255
322	172	255
323	173	254
324	174	254
325	174	253
326	175	253
327	175	252
328	176	252
329	176	251
330	177	251
331	177	250
332	178	250
333	178	249
334	179	248
335	179	248
336	180	247
337	180	247
338	181	246
339	181	246
340	182	245
341	183	245
342	183	244
343	184	244
344	184	243
345	185	242
346	185	242
347	186	241
348	186	241
349	187	240
350	187	240
351	188	239
352	188	239
353	189	238
354	189	238
355	190	237
356	190	236
357	191	236
358	192	235
359	192	235
360	193	234
361	193	234
362	194	233
363	194	233
364	195	232
365	195	232
366	196	231
367	197	231
368	197	230
369	198	230
370	198	229
371	199	229
372	199	228
373	200	228
374	200	227
375	201	227
376	201	226
377	202	225
378	202	225
379	203	224
380	203	224
381	204	223
382	205	223
383	205	222
384	206	222
385	206	221
386	207	221
387	207	220
388	208	219
389	208	219
390	209	218
391	209	218
392	210	217
393	210	216
394	211	216
395	211	215
396	212	215
397	212	214
398	213	214
399	213	213
400	214	213
401	214	212
402	215	212
403	216	211
404	216	211
405	217	210
406	217	210
407	218	209
408	218	209
409	219	208
410	219	207
411	220	207
412	220	206
413	221	206
414	221	205
415	222	205
416	222	204
417	223	204
418	223	203
419	224	202
420	224	202
421	225	201
422	225	201
423	226	200
424	227	200
425	227	199
426	228	199
427	228	198
428	229	198
429	229	197
430	230	196
431	230	196
432	231	196
433	231	195
434	232	194
435	232	194
436	233	193
437	233	193
438	234	192
439	234	192
440	235	191
441	236	191
442	236	190
443	237	190
444	237	189
445	238	189
446	238	188
447	239	187
448	239	187
449	240	186
450	240	186
451	241	185
452	241	185
453	242	184
454	242	184
455	243	183
456	243	183
457	244	182
458	244	181
459	245	181
460	245	180
461	246	180
462	246	179
463	247	179
464	248	178
465	248	178
466	249	177
467	249	177
468	250	176
469	250	176
470	251	175
471	252	175
472	252	174
473	253	174
474	253	173
475	254	173
476	254	172
477	255	172
478	255	171
479	256	170
480	257	170
481	257	169
482	258	169
483	258	168
484	259	168
485	259	167
486	260	167
487	260	166
488	261	166
489	261	165
490	262	165
491	263	164
492	263	164
493	264	163
494	264	163
495	265	162
496	265	162
497	266	161
498	266	161
499	268	160
500	268	160
501	269	159
502	269	159
503	270	158
504	270	158
505	271	157
506	271	157
507	272	156
508	272	156
509	273	155
510	273	154
511	274	154
512	275	153
513	275	153
514	276	152
515	276	152
516	277	151
517	277	151
518	278	150
519	278	150
520	279	149
521	279	149
522	280	148
523	280	147
524	281	147
525	281	146
526	282	146
527	283	145
528	283	145
529	284	144
530	284	144
531	285	143
532	285	143
533	286	142
534	286	142
535	287	141
536	287	141
537	288	140
538	288	139
539	289	139
540	289	138
541	290	138
542	291	137
543	291	137
544	292	136
545	292	136
546	293	135
547	294	135
548	294	134
549	295	134
550	295	133
551	296	133
552	296	132
553	297	132
554	297	131
555	298	130
556	299	130
557	299	129
558	301	129
559	301	129
560	302	128
561	302	128
562	303	127
563	304	127
564	304	126
565	305	126
566	305	125
567	306	125
568	307	124
569	307	124
570	308	123
571	308	123
572	309	122
573	309	122
574	310	121
575	311	120
576	311	120
577	312	119
578	312	119
579	313	118
580	313	118
581	314	117
582	314	117
583	315	116
584	316	116
585	316	115
586	317	115
587	318	114
588	318	114
589	319	113
590	319	113
591	320	112
592	320	112
593	321	111
594	322	110
595	322	110
596	323	109
597	323	109
598	324	108
599	324	108
600	326	108
601	326	107
602	327	107
603	328	106
604	328	106
605	329	105
606	329	104
607	330	104
608	331	103
609	331	103
610	332	102
611	332	102
612	333	101
613	333	101
614	334	100
615	334	100
616	335	99
617	336	98
618	336	98
619	337	97
620	337	97
621	338	96
622	339	96
623	339	95
624	340	95
625	341	94
626	341	94
627	342	93
628	342	93
629	343	92
630	343	92
631	344	91
632	344	90
633	345	90
634	346	89
635	346	89
636	347	88
637	347	88
638	348	87
639	348	87
640	349	86
641	349	86
642	350	85
643	350	85
644	351	84
645	352	83
646	352	83
647	353	82
648	353	82
649	354	81
650	354	81
651	355	80
652	355	80
653	356	79
654	356	78
655	357	78
656	357	77
657	358	77
658	358	76
659	359	76
660	359	75
661	360	75
662	361	74
663	361	74
664	362	73
665	362	72
666	363	72
667	364	71
668	364	71
669	365	70
670	365	70
671	366	69
672	367	69
673	367	68
674	368	68
675	368	67
676	369	67
677	369	66
678	370	66
679	371	65
680	371	64
681	372	64
682	373	63
683	374	63
684	374	62
685	375	62
686	375	61
687	376	61
688	377	60
689	377	60
690	378	59
691	378	59
692	379	58
693	380	58
694	380	57
695	381	56
696	381	56
697	382	55
698	383	55
699	383	54
700	384	54
701	384	53
702	385	53
703	385	52
704	386	52
705	386	51
706	387	50
707	388	50
708	388	49
709	389	49
710	389	48
711	390	48
712	391	47
713	391	47
714	392	46
715	393	46
716	393	45
717	394	45
718	394	44
719	395	43
720	395	43
721	396	42
722	397	42
723	397	41
724	398	41
725	398	40
726	399	40
727	399	39
728	400	39
729	401	38
730	401	37
731	402	37
732	402	36
733	403	36
734	403	35
735	404	35
736	405	34
737	405	34
738	406	33
739	406	32
740	407	32
741	407	31
